Item	Item	Country	State	Name	Latitude	Longitude	DistanceFromSource	IWDay	IWHr	IWMin	TTHr	TTMin	MWDay	MWHr	MMWMin	MaxWaterHeight	MaxInundationDistance	Type	Per	1st	Mtn	z1	z2
*		INDONESIA 	ACEH 	ACEH, SUMATRA 	5.43300 	95.23600 	245 									26.10 		5 			
* 		INDONESIA 	ACEH 	ACEH, SUMATRA 	5.56900 	95.34100 	257 									6.10 		5 	
* 		INDONESIA 	ACEH 	ACEH, SUMATRA 	5.60200 	95.38300 	260 									10.70 		5 	
* 		INDONESIA 	ACEH 	ACEH, SUMATRA 	5.61000 	95.39700 	260 									11.00 		5 	
* 		INDONESIA 	ACEH 	ACEH, SUMATRA 	5.28600 	95.24400 	229 									11.10 		5 	
* 		INDONESIA 	ACEH 	ACEH, SUMATRA 	5.64900 	95.41600 	264 									4.20 		5 	
* 		INDONESIA 	ACEH 	ACEH, SUMATRA 	5.64800 	95.41500 	264 									4.90 		5 	
* 		INDONESIA 	ACEH 	ACEH, SUMATRA 	5.62100 	95.39800 	261 									6.00 		5 	
* 		INDONESIA 	ACEH 	ACEH, SUMATRA 	5.64700 	95.41500 	264 									7.00 		5 	
* 		INDONESIA 	ACEH 	ACEH, SUMATRA 	5.64800 	95.41500 	264 									7.10 		5 	
* 		INDONESIA 	ACEH 	ACEH, SUMATRA 	5.64900 	95.41600 	264 									7.20 		5 	
* 		INDONESIA 	ACEH 	ACEH, SUMATRA 	5.64800 	95.41500 	264 									7.20 		5 	
* 		INDONESIA 	ACEH 	ACEH, SUMATRA 	5.65000 	95.42200 	264 									7.50 		5 	
* 		INDONESIA 	ACEH 	ACEH, SUMATRA 	5.60900 	95.39800 	260 									7.70 		5 	
* 		INDONESIA 	ACEH 	ACEH, SUMATRA 	5.64700 	95.41400 	264 									8.20 		5 	
* 		INDONESIA 	ACEH 	ACEH, SUMATRA 	5.60000 	95.37900 	259 									8.60 		5 	
* 		INDONESIA 	ACEH 	ACEH, SUMATRA 	5.28600 	95.25100 	229 									10.40 		5 	
* 		INDONESIA 	ACEH 	ACEH, SUMATRA 	5.56600 	95.32700 	257 									4.60 		5 	
* 		INDONESIA 	ACEH 	ACEH, SUMATRA 	5.56600 	95.32700 	257 									4.60 		5 	
* 		INDONESIA 	ACEH 	ACEH, SUMATRA 	5.57000 	95.33400 	257 									4.70 		5 	
* 		INDONESIA 	ACEH 	ACEH, SUMATRA 	5.56500 	95.33000 	257 									4.90 		5 	
* 		INDONESIA 	ACEH 	ACEH, SUMATRA 	5.47700 	95.26500 	249 									4.90 		5 	
* 		INDONESIA 	ACEH 	ACEH, SUMATRA 	5.56500 	95.31200 	257 									4.90 		5 	
* 		INDONESIA 	ACEH 	ACEH, SUMATRA 	5.63100 	95.40400 	262 									5.00 		5 	
* 		INDONESIA 	ACEH 	ACEH, SUMATRA 	5.57200 	95.34400 	257 									5.10 		5 	
* 		INDONESIA 	ACEH 	ACEH, SUMATRA 	5.57100 	95.32800 	258 									7.80 		5 	
* 		INDONESIA 	ACEH 	ACEH, SUMATRA 	5.57300 	95.32800 	258 									7.90 		5 	
* 		INDONESIA 	ACEH 	ACEH, SUMATRA 	5.55300 	95.30900 	256 									8.00 		5 	
* 		INDONESIA 	ACEH 	ACEH, SUMATRA 	5.48900 	95.26300 	250 									8.00 		5 	
* 		INDONESIA 	ACEH 	ACEH, SUMATRA 	5.57500 	95.32500 	258 									8.00 		5 	
* 		INDONESIA 	ACEH 	ACEH, SUMATRA 	5.59500 	95.37100 	259 									8.00 		5 	
* 		INDONESIA 	ACEH 	ACEH, SUMATRA 	5.55700 	95.31500 	256 									8.10 		5 	
* 		INDONESIA 	ACEH 	ACEH, SUMATRA 	5.55200 	95.30900 	256 									8.10 		5 	
* 		INDONESIA 	ACEH 	ACEH, SUMATRA 	5.48000 	95.24300 	250 									8.10 		5 	
* 		INDONESIA 	ACEH 	ACEH, SUMATRA 	5.59400 	95.37200 	259 									8.10 		5 	
* 		INDONESIA 	ACEH 	ACEH, SUMATRA 	5.59300 	95.37100 	259 									8.10 		5 	
* 		INDONESIA 	ACEH 	ACEH, SUMATRA 	5.56200 	95.31700 	257 									8.20 		5 	
* 		INDONESIA 	ACEH 	ACEH, SUMATRA 	5.53000 	95.28600 	254 									8.20 		5 	
